127.0.0.1 - - [18/Oct/2022:19:49:14 +1100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:49:14 +1100] "GET /LearnersAcademyMgmtSystem/ajaxTeacherClass HTTP/1.1" 500 1302
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:49:14 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:02 +1100] "GET /LearnersAcademyMgmtSystem/login HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:02 +1100] "GET /LearnersAcademyMgmtSystem/js/login.js HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:03 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:08 +1100] "POST /LearnersAcademyMgmtSystem/login HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:08 +1100] "GET /css/local.css HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:12 +1100] "GET /LearnersAcademyMgmtSystem/class/report HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:12 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:12 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:14 +1100] "GET /LearnersAcademyMgmtSystem/class/list HTTP/1.1" 200 4225
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:14 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:14 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:16 +1100] "GET /LearnersAcademyMgmtSystem/teacher/list HTTP/1.1" 200 10606
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:16 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:16 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:18 +1100] "GET /LearnersAcademyMgmtSystem/student/list HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:18 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:18 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:19 +1100] "GET /LearnersAcademyMgmtSystem/teacher/list HTTP/1.1" 200 10606
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:19 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:20 +1100] "GET /LearnersAcademyMgmtSystem/teacher/new HTTP/1.1" 200 8229
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:20 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:20 +1100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:20 +1100] "GET /LearnersAcademyMgmtSystem/ajax?id=1001 HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:27 +1100] "GET /LearnersAcademyMgmtSystem/ajax?id=1002 HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:37 +1100] "GET /LearnersAcademyMgmtSystem/teacher/list HTTP/1.1" 200 10606
0:0:0:0:0:0:0:1 - - [18/Oct/2022:19:50:37 +1100] "GET /LearnersAcademyMgmtSystem/css/local.css HTTP/1.1" 200 3484
